   T9           X4          X56
=====  ===========  ===========
 4.50   0.7191E-02   0.9928    
 4.51   0.7477E-02   0.9925    
 4.52   0.7773E-02   0.9922    
 4.53   0.8079E-02   0.9919    
 4.54   0.8395E-02   0.9916    
 4.55   0.8723E-02   0.9913    
 4.56   0.9062E-02   0.9909    
 4.57   0.9412E-02   0.9906    
 4.58   0.9775E-02   0.9902    
 4.59   0.1015E-01   0.9899    
 4.60   0.1054E-01   0.9895    
 4.61   0.1094E-01   0.9891    
 4.62   0.1135E-01   0.9886    
 4.63   0.1178E-01   0.9882    
 4.64   0.1222E-01   0.9878    
 4.65   0.1268E-01   0.9873    
 4.66   0.1315E-01   0.9868    
 4.67   0.1364E-01   0.9864    
 4.68   0.1414E-01   0.9859    
 4.69   0.1466E-01   0.9853    
 4.70   0.1520E-01   0.9848    
 4.71   0.1575E-01   0.9842    
 4.72   0.1633E-01   0.9837    
 4.73   0.1692E-01   0.9831    
 4.74   0.1753E-01   0.9825    
 4.75   0.1815E-01   0.9818    
 4.76   0.1880E-01   0.9812    
 4.77   0.1947E-01   0.9805    
 4.78   0.2016E-01   0.9798    
 4.79   0.2087E-01   0.9791    
 4.80   0.2160E-01   0.9784    
 4.81   0.2236E-01   0.9776    
 4.82   0.2314E-01   0.9769    
 4.83   0.2394E-01   0.9761    
 4.84   0.2477E-01   0.9752    
 4.85   0.2562E-01   0.9744    
 4.86   0.2650E-01   0.9735    
 4.87   0.2740E-01   0.9726    
 4.88   0.2833E-01   0.9717    
 4.89   0.2929E-01   0.9707    
 4.90   0.3028E-01   0.9697    
 4.91   0.3130E-01   0.9687    
 4.92   0.3234E-01   0.9677    
 4.93   0.3342E-01   0.9666    
 4.94   0.3453E-01   0.9655    
 4.95   0.3567E-01   0.9643    
 4.96   0.3684E-01   0.9632    
 4.97   0.3805E-01   0.9620    
 4.98   0.3929E-01   0.9607    
 4.99   0.4057E-01   0.9594    
 5.00   0.4188E-01   0.9581    
 5.01   0.4323E-01   0.9568    
 5.02   0.4462E-01   0.9554    
 5.03   0.4605E-01   0.9539    
 5.04   0.4752E-01   0.9525    
 5.05   0.4903E-01   0.9510    
 5.06   0.5058E-01   0.9494    
 5.07   0.5217E-01   0.9478    
 5.08   0.5381E-01   0.9462    
 5.09   0.5549E-01   0.9445    
 5.10   0.5721E-01   0.9428    
 5.11   0.5899E-01   0.9410    
 5.12   0.6081E-01   0.9392    
 5.13   0.6268E-01   0.9373    
 5.14   0.6460E-01   0.9354    
 5.15   0.6657E-01   0.9334    
 5.16   0.6859E-01   0.9314    
 5.17   0.7067E-01   0.9293    
 5.18   0.7280E-01   0.9272    
 5.19   0.7499E-01   0.9250    
 5.20   0.7723E-01   0.9228    
 5.21   0.7953E-01   0.9205    
 5.22   0.8190E-01   0.9181    
 5.23   0.8432E-01   0.9157    
 5.24   0.8680E-01   0.9132    
 5.25   0.8935E-01   0.9107    
 5.26   0.9196E-01   0.9080    
 5.27   0.9464E-01   0.9054    
 5.28   0.9738E-01   0.9026    
 5.29   0.1002       0.8998    
 5.30   0.1031       0.8969    
 5.31   0.1060       0.8940    
 5.32   0.1091       0.8909    
 5.33   0.1122       0.8878    
 5.34   0.1153       0.8847    
 5.35   0.1186       0.8814    
 5.36   0.1219       0.8781    
 5.37   0.1253       0.8747    
 5.38   0.1288       0.8712    
 5.39   0.1324       0.8676    
 5.40   0.1361       0.8639    
 5.41   0.1398       0.8602    
